               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.014833,            0.006127,                   0,             0.99951,             0.99974,             0.99908,             0.74683,            0.017996,           0.0079873,                   0,           0.0084516,           0.0084516,           0.0084516
                  89,             0.01483,            0.006134,                   0,             0.99955,             0.99972,             0.99916,             0.74704,            0.018004,           0.0079917,                   0,           0.0084184,           0.0084184,           0.0084184
                  90,            0.014824,           0.0061236,                   0,              0.9996,              0.9997,             0.99918,             0.74733,            0.017995,           0.0079915,                   0,           0.0083849,           0.0083849,           0.0083849
                  91,            0.014817,           0.0061334,                   0,             0.99954,             0.99971,             0.99916,             0.74732,            0.017989,           0.0079896,                   0,           0.0083511,           0.0083511,           0.0083511
                  92,            0.014837,           0.0061233,                   0,             0.99943,              0.9997,             0.99914,             0.74745,             0.01799,           0.0079878,                   0,           0.0083171,           0.0083171,           0.0083171
                  93,            0.014779,           0.0061064,                   0,             0.99948,             0.99967,             0.99911,             0.74726,            0.018001,           0.0079892,                   0,           0.0082829,           0.0082829,           0.0082829
                  94,            0.014825,           0.0061354,                   0,              0.9995,             0.99972,             0.99909,               0.747,            0.017998,           0.0079885,                   0,           0.0082483,           0.0082483,           0.0082483
                  95,            0.014775,           0.0061033,                   0,              0.9995,             0.99975,              0.9991,             0.74713,            0.017992,            0.007988,                   0,           0.0082136,           0.0082136,           0.0082136
                  96,            0.014771,           0.0061174,                   0,             0.99951,             0.99974,             0.99914,             0.74685,            0.017995,           0.0079904,                   0,           0.0081786,           0.0081786,           0.0081786
                  97,            0.014794,           0.0061205,                   0,             0.99951,             0.99975,             0.99919,             0.74674,            0.017992,           0.0079882,                   0,           0.0081433,           0.0081433,           0.0081433
                  98,            0.014775,            0.006112,                   0,             0.99957,             0.99971,             0.99918,             0.74731,            0.017978,           0.0079863,                   0,           0.0081078,           0.0081078,           0.0081078
                  99,            0.014767,           0.0061035,                   0,              0.9996,              0.9997,             0.99915,             0.74686,            0.017985,           0.0079899,                   0,           0.0080721,           0.0080721,           0.0080721
                 100,             0.01476,           0.0061216,                   0,              0.9995,             0.99976,             0.99911,             0.74684,            0.017988,           0.0079893,                   0,           0.0080362,           0.0080362,           0.0080362
                 101,            0.014743,           0.0060965,                   0,              0.9995,             0.99977,             0.99915,             0.74677,            0.017989,           0.0079888,                   0,               0.008,               0.008,               0.008
                 102,            0.014746,           0.0061143,                   0,             0.99954,             0.99974,             0.99913,             0.74663,            0.017995,           0.0079905,                   0,           0.0079636,           0.0079636,           0.0079636
                 103,            0.014698,           0.0060952,                   0,             0.99943,             0.99973,             0.99907,             0.74665,            0.017993,           0.0079915,                   0,            0.007927,            0.007927,            0.007927
                 104,            0.014727,           0.0060914,                   0,             0.99952,             0.99969,             0.99911,             0.74668,            0.017991,           0.0079904,                   0,           0.0078902,           0.0078902,           0.0078902
                 105,             0.01473,           0.0061001,                   0,              0.9996,             0.99968,              0.9992,             0.74696,            0.017984,           0.0079886,                   0,           0.0078532,           0.0078532,           0.0078532
                 106,            0.014727,           0.0060894,                   0,             0.99953,             0.99972,             0.99922,             0.74701,             0.01799,           0.0079883,                   0,            0.007816,            0.007816,            0.007816
                 107,            0.014709,           0.0060741,                   0,             0.99955,             0.99971,             0.99926,             0.74714,            0.017992,           0.0079845,                   0,           0.0077785,           0.0077785,           0.0077785
                 108,            0.014682,           0.0060776,                   0,             0.99956,             0.99971,             0.99924,             0.74628,            0.017999,           0.0079878,                   0,           0.0077409,           0.0077409,           0.0077409
                 109,            0.014699,           0.0060917,                   0,             0.99951,             0.99975,             0.99922,             0.74661,            0.017989,           0.0079859,                   0,           0.0077031,           0.0077031,           0.0077031
                 110,            0.014629,           0.0060566,                   0,             0.99957,             0.99969,             0.99921,             0.74642,             0.01799,           0.0079903,                   0,           0.0076651,           0.0076651,           0.0076651
                 111,            0.014689,           0.0060794,                   0,             0.99961,             0.99969,             0.99924,              0.7469,            0.017982,           0.0079883,                   0,           0.0076269,           0.0076269,           0.0076269
                 112,            0.014638,           0.0060742,                   0,             0.99961,             0.99969,             0.99923,             0.74744,             0.01797,           0.0079849,                   0,           0.0075886,           0.0075886,           0.0075886
                 113,            0.014665,            0.006081,                   0,             0.99958,              0.9997,              0.9992,             0.74729,            0.017977,           0.0079854,                   0,           0.0075501,           0.0075501,           0.0075501
                 114,            0.014653,           0.0060559,                   0,             0.99958,             0.99974,             0.99918,             0.74712,            0.017976,           0.0079813,                   0,           0.0075114,           0.0075114,           0.0075114
                 115,            0.014635,           0.0060733,                   0,             0.99955,             0.99968,             0.99915,              0.7474,             0.01797,           0.0079797,                   0,           0.0074725,           0.0074725,           0.0074725
                 116,            0.014635,           0.0060714,                   0,             0.99951,             0.99974,             0.99915,             0.74753,            0.017972,           0.0079831,                   0,           0.0074335,           0.0074335,           0.0074335
                 117,            0.014626,           0.0060723,                   0,             0.99952,              0.9997,             0.99912,             0.74762,            0.017974,           0.0079864,                   0,           0.0073943,           0.0073943,           0.0073943
                 118,            0.014603,           0.0060617,                   0,              0.9995,             0.99974,             0.99912,             0.74736,            0.017979,           0.0079896,                   0,            0.007355,            0.007355,            0.007355
                 119,            0.014591,           0.0060541,                   0,             0.99951,             0.99974,             0.99912,             0.74691,            0.017973,           0.0079882,                   0,           0.0073155,           0.0073155,           0.0073155
