               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,             0.01752,           0.0051835,                   0,              0.9996,             0.99982,             0.99844,              0.7367,            0.018853,            0.005402,                   0,           0.0090552,           0.0090552,           0.0090552
                  69,            0.017513,           0.0051825,                   0,             0.99959,             0.99981,             0.99847,              0.7361,            0.018869,           0.0054047,                   0,            0.009028,            0.009028,            0.009028
                  70,            0.017492,           0.0051791,                   0,             0.99956,             0.99979,             0.99849,             0.73583,            0.018868,           0.0054044,                   0,           0.0090004,           0.0090004,           0.0090004
                  71,            0.017499,           0.0051882,                   0,             0.99954,             0.99983,             0.99858,             0.73594,            0.018861,           0.0054027,                   0,           0.0089726,           0.0089726,           0.0089726
                  72,            0.017469,           0.0051676,                   0,             0.99954,             0.99982,             0.99856,             0.73624,            0.018851,           0.0054016,                   0,           0.0089444,           0.0089444,           0.0089444
                  73,            0.017503,           0.0051833,                   0,             0.99954,             0.99983,              0.9985,             0.73673,            0.018831,           0.0053977,                   0,           0.0089159,           0.0089159,           0.0089159
                  74,            0.017462,           0.0051711,                   0,             0.99954,             0.99985,             0.99848,             0.73666,            0.018835,           0.0053979,                   0,            0.008887,            0.008887,            0.008887
                  75,            0.017503,           0.0051819,                   0,             0.99958,             0.99981,             0.99856,             0.73743,            0.018832,           0.0053965,                   0,           0.0088579,           0.0088579,           0.0088579
                  76,            0.017433,             0.00516,                   0,             0.99956,             0.99982,             0.99848,             0.73815,            0.018822,           0.0053947,                   0,           0.0088284,           0.0088284,           0.0088284
                  77,            0.017449,           0.0051651,                   0,             0.99953,             0.99979,             0.99842,             0.73789,            0.018814,           0.0053938,                   0,           0.0087987,           0.0087987,           0.0087987
                  78,            0.017453,           0.0051541,                   0,             0.99957,             0.99982,             0.99834,             0.73759,            0.018821,           0.0053946,                   0,           0.0087686,           0.0087686,           0.0087686
                  79,            0.017434,           0.0051661,                   0,             0.99954,             0.99984,             0.99841,             0.73779,            0.018827,           0.0053964,                   0,           0.0087382,           0.0087382,           0.0087382
                  80,            0.017422,           0.0051552,                   0,             0.99957,             0.99982,             0.99844,             0.73759,            0.018821,           0.0053957,                   0,           0.0087075,           0.0087075,           0.0087075
                  81,            0.017396,           0.0051564,                   0,             0.99957,             0.99981,             0.99858,             0.73801,            0.018817,           0.0053952,                   0,           0.0086765,           0.0086765,           0.0086765
                  82,            0.017385,           0.0051474,                   0,              0.9996,             0.99983,             0.99869,             0.73746,            0.018816,           0.0053947,                   0,           0.0086452,           0.0086452,           0.0086452
